"cardURL","companyName","countryWebsite","description","detail","pagesViewed","timesViewed","numberOfPeople","date","keywordsResearched","timesResearched","timesClicked"
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","9 pages viewed a total of 22 times by 1 Anonymous user","https://tenovos.com/press/s4s-bdmi-tenovos-series-b-funding/, https://tenovos.com/press/michael-waldron-cmo/, https://tenovos.com/about/, https://tenovos.com/press/tenovos-joins-mach-alliance/, https://tenovos.com/press/tenovos-named-strong-performer-in-digital-asset-management/, https://tenovos.com/press/tenovos-starts-2022-with-strong-momentum-executive-team-hires-and-new-capabilities/, https://tenovos.com/press/industry-veteran-mohan-taylor-joins-tenovos-as-chief-product-officer/, https://tenovos.com/resources/press/, https://tenovos.com/",9,22,1,"Mar 27, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","3 pages clicked a total of 14 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/press/, https://tenovos.com/about/",3,,1,"Mar 27, 2023",,,14
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 5 times by 1 anonymous user","canto",,,1,"Mar 24, 2023",1,5,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 7 times by 1 anonymous user","canto",,,1,"Mar 21, 2023",1,7,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 1 time by 1 anonymous user","workflow automation",,,1,"Mar 18, 2023",1,1,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","1 keyword researched a total of 2 times by 1 anonymous user","marketing performance",,,1,"Mar 14, 2023",1,2,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 3 times by 2 anonymous users","canto, workflow automation",,,2,"Mar 13, 2023",2,3,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 keywords researched a total of 5 times by 2 anonymous users","taxonomy, marketing performance",,,2,"Mar 10, 2023",2,5,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 pages viewed a total of 2 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/press/",2,2,1,"Mar 9, 2023",,,
"/discover/account/detail/a5e76b1aca65363/?span={""fixedRange"":false,""timeWindow"":null,""startDate"":""2023-07-05"",""endDate"":""2023-08-03""}","Insight Partners","United States - insightpartners.com","2 pages clicked a total of 3 times by 1 Anonymous user","https://tenovos.com/, https://tenovos.com/resources/press/",2,,1,"Mar 9, 2023",,,3
